customer_id,age,gender,city,tenure_months,monthly_charges,total_charges,contract_type,payment_method,internet_service,support_calls,complaints,login_frequency,subscription_type,satisfaction_score,inactive_days,churn,tenure_years,calculated_monthly_charge,support_complaint_ratio,churn_encoded
C001,58,Male,Chennai,48,46.21,2302.0,Monthly,UPI,No Internet,0,0,4,Standard,4,14,No,4.0,47.958333333333336,0.0,0
C002,19,Male,Kochi,15,51.43,817.03,Monthly,Credit Card,No Internet,5,2,6,Standard,4,48,Yes,1.25,54.468666666666664,0.4,1
C003,23,Female,Bengaluru,23,82.35,1987.12,Yearly,Bank Transfer,No Internet,6,0,19,Basic,5,53,Yes,1.9166666666666667,86.39652173913043,0.0,1
C004,41,Male,Bengaluru,3,98.44,318.25,Yearly,Credit Card,Fiber,4,3,22,Standard,6,10,Yes,0.25,106.08333333333333,0.75,1
C005,31,Female,Bengaluru,39,75.74,2833.25,Yearly,Bank Transfer,DSL,8,1,23,Standard,6,53,No,3.25,72.6474358974359,0.125,0
C006,21,Male,Chennai,52,50.44,2501.59,Monthly,Debit Card,Fiber,7,3,30,Premium,8,9,Yes,4.333333333333333,48.1075,0.42857142857142855,1
C007,33,Female,Kochi,58,59.39,3718.72,Yearly,Credit Card,No Internet,1,0,29,Standard,2,9,No,4.833333333333333,64.11586206896551,0.0,0
C008,68,Female,Bengaluru,25,119.63,3004.68,Monthly,UPI,No Internet,1,5,30,Premium,9,48,Yes,2.0833333333333335,120.18719999999999,5.0,1
C009,59,Female,Bengaluru,19,68.1,1387.85,Monthly,Debit Card,No Internet,8,0,29,Basic,5,53,Yes,1.5833333333333333,73.04473684210525,0.0,1
C010,56,Male,Hyderabad,24,76.24,1911.33,Yearly,UPI,No Internet,7,0,5,Standard,6,56,Yes,2.0,79.63875,0.0,1
C011,69,Female,Mumbai,4,78.9,294.33,Monthly,Bank Transfer,Fiber,2,1,23,Premium,8,60,Yes,0.3333333333333333,73.5825,0.5,1
