customer_id,age,gender,city,tenure_months,monthly_charges,total_charges,contract_type,payment_method,internet_service,support_calls,complaints,login_frequency,subscription_type,satisfaction_score,inactive_days,churn
C001,58,Male,Chennai,48,46.21,2302.0,Monthly,UPI,None,0,0,4,Standard,4,14,No
C002,19,Male,Kochi,15,51.43,817.03,Monthly,Credit Card,None,5,2,6,Standard,4,48,Yes
C003,23,Female,Bengaluru,23,82.35,1987.12,Yearly,Bank Transfer,None,6,0,19,Basic,5,53,Yes
C004,41,Male,Bengaluru,3,98.44,318.25,Yearly,Credit Card,Fiber,4,3,22,Standard,6,10,Yes
C005,31,Female,Bengaluru,39,75.74,2833.25,Yearly,Bank Transfer,DSL,8,1,23,Standard,6,53,No
C006,21,Male,Chennai,52,50.44,2501.59,Monthly,Debit Card,Fiber,7,3,30,Premium,8,9,Yes
C007,33,Female,Kochi,58,59.39,3718.72,Yearly,Credit Card,None,1,0,29,Standard,2,9,No
C008,68,Female,Bengaluru,25,119.63,3004.68,Monthly,UPI,None,1,5,30,Premium,9,48,Yes
C009,59,Female,Bengaluru,19,68.1,1387.85,Monthly,Debit Card,None,8,0,29,Basic,5,53,Yes
C010,56,Male,Hyderabad,24,76.24,1911.33,Yearly,UPI,None,7,0,5,Standard,6,56,Yes
C011,69,Female,Mumbai,4,78.9,294.33,Monthly,Bank Transfer,Fiber,2,1,23,Premium,8,60,Yes
C012,34,Female,Mumbai,60,94.34,5389.74,Monthly,Debit Card,DSL,5,3,30,Premium,9,28,Yes
C013,32,Male,Delhi,2,46.86,89.52,Yearly,UPI,None,0,1,4,Premium,1,55,Yes
C014,50,Male,Pune,43,76.23,3395.03,Monthly,Bank Transfer,Fiber,6,1,5,Standard,2,42,Yes
C015,45,Female,Coimbatore,56,88.97,5368.28,Yearly,UPI,Fiber,5,0,9,Standard,4,12,No
C016,26,Female,Hyderabad,18,108.08,1813.27,Monthly,UPI,Fiber,8,0,4,Premium,4,10,Yes
C017,48,Male,Kochi,58,61.0,3812.72,Monthly,Debit Card,DSL,6,5,25,Standard,9,42,Yes
C018,27,Male,Pune,14,80.02,1127.84,2-Year,Debit Card,Fiber,7,4,29,Basic,9,10,No
C019,50,Male,Hyderabad,5,89.15,426.86,Yearly,UPI,None,0,4,4,Basic,7,42,Yes
C020,51,Female,Pune,14,54.85,739.1,Yearly,Credit Card,None,4,3,12,Premium,2,0,No
C021,54,Male,Bengaluru,35,50.19,1878.42,Monthly,UPI,Fiber,4,1,16,Standard,9,45,No
C022,69,Male,Pune,60,114.2,6451.07,Yearly,UPI,Fiber,8,1,10,Premium,5,38,No
C023,39,Male,Pune,33,111.01,3866.19,Monthly,UPI,None,4,0,2,Standard,6,49,Yes
C024,34,Male,Coimbatore,36,78.29,2643.41,Yearly,Credit Card,None,5,4,19,Basic,3,27,No
C025,37,Female,Chennai,58,89.8,5347.51,Monthly,Debit Card,None,2,1,29,Standard,3,51,Yes
C026,44,Male,Hyderabad,48,99.33,4700.49,2-Year,Credit Card,DSL,1,3,29,Basic,1,54,No
C027,30,Female,Delhi,20,107.78,2060.04,Yearly,Credit Card,DSL,4,0,26,Standard,5,22,No
C028,43,Female,Chennai,8,49.82,403.7,2-Year,Debit Card,Fiber,6,2,25,Basic,6,27,No
C029,50,Male,Kochi,58,49.2,2948.93,Yearly,UPI,None,3,2,15,Premium,2,60,No
C030,39,Female,Bengaluru,47,73.18,3531.3,2-Year,Debit Card,DSL,4,4,6,Premium,4,26,No
C031,42,Male,Pune,26,25.04,628.84,Monthly,Bank Transfer,None,5,3,16,Premium,8,43,Yes
C032,48,Male,Bengaluru,19,85.13,1574.82,Monthly,Credit Card,None,3,1,6,Standard,1,2,Yes
C033,48,Male,Coimbatore,27,79.69,2226.8,2-Year,Bank Transfer,DSL,3,1,22,Standard,1,57,No
C034,67,Male,Kochi,15,116.01,1745.15,Monthly,UPI,None,1,3,6,Basic,8,42,Yes
C035,53,Female,Coimbatore,40,109.74,4338.15,Yearly,Bank Transfer,Fiber,7,3,10,Premium,4,53,Yes
C036,67,Female,Mumbai,18,92.79,1599.27,Monthly,Debit Card,DSL,1,1,6,Premium,4,24,Yes
C037,63,Male,Bengaluru,27,76.55,2039.0,Monthly,Credit Card,DSL,0,4,14,Standard,8,0,Yes
C038,37,Female,Kochi,35,76.88,2735.25,Yearly,Credit Card,DSL,4,3,17,Basic,1,24,No
C039,61,Female,Hyderabad,54,37.12,2043.69,Monthly,UPI,DSL,0,0,22,Premium,7,8,No
C040,29,Male,Pune,25,68.2,1660.67,Monthly,Bank Transfer,DSL,4,0,17,Standard,1,47,Yes
C041,40,Male,Bengaluru,50,28.82,1332.87,2-Year,Credit Card,Fiber,2,1,6,Basic,8,42,No
C042,31,Female,Pune,50,82.56,4434.29,Monthly,UPI,Fiber,1,4,2,Standard,5,36,Yes
C043,42,Female,Mumbai,5,103.9,498.13,Yearly,Debit Card,None,1,4,27,Premium,1,22,Yes
C044,60,Female,Bengaluru,33,26.2,853.54,Yearly,Bank Transfer,Fiber,5,5,30,Standard,8,45,No
C045,29,Female,Coimbatore,30,94.45,2728.5,Monthly,Credit Card,Fiber,7,1,26,Standard,8,36,Yes
